RUT,Nombres,Apellidos,Curso,Fecha de Nacimiento,RUT Apoderado
24481373-9,Olivia ,Arreguin,1° Básico A,12/05/2017,10325987-8
21297048-4,Severiano ,Correa,1° Básico A,12/05/2017,10325987-8
24374863-1,Isidoro ,Cristobal,1° Básico A,30/06/2016,13280838-4
29408801-6,Maximo ,Alamilla,2° Básico A,17/05/2011,13280838-4
24206808-4,Luisa,Montalvo,2° Básico B,11/05/2017,
23873048-1,Pablo ,Becerra,2° Básico C,22/07/2019,
24223761-7,Araceli ,Ibañez,3° Básico A,18/02/2020,
21860153-7,Eliazar ,Duron,3° Básico B,12/10/2009,
28362422-6,Ranulfo ,Armenta,3° Básico C,06/11/2020,
26193944-4,Domitila ,de Anda,3° Básico A,13/02/2018,
